umls_cui,drug_Raw_Name,src_nm,umls_sem_typ1,umls_sem_typ2,umls_sem_typ3
C0074304,Sematilide,MeSH_PA,Pharmacologic Substance,Organic Chemical,
C1135174,Semaxinib,MeSH_PA,Pharmacologic Substance,Organic Chemical,
C0141951,Semduramicin,DailyMed,Pharmacologic Substance,Organic Chemical,
C0293550,Seminaphthorhodaminefluoride,MeSH_PA,Indicator; Reagent; or Diagnostic Aid,Organic Chemical,
C2700104,Semuloparin,USAN_TC,Pharmacologic Substance,Organic Chemical,
C0036637,Semustine,MeSH_PA,Pharmacologic Substance,Organic Chemical,
C0074321,Senecionine,MeSH_PA,Pharmacologic Substance,Organic Chemical,
C2699287,Senicapoc,USAN_TC,Pharmacologic Substance,Organic Chemical,
C3489575,Sennosides,DailyMed,Pharmacologic Substance,,
C0905598,Seocalcitol,MeSH_PA,Pharmacologic Substance,Organic Chemical,
C0074343,Sephadex,MeSH_PA,Indicator; Reagent; or Diagnostic Aid,Organic Chemical,
C0050339,Seratrodast,MeSH_PA,Pharmacologic Substance,Organic Chemical,
C0036720,Serine,USAN_TC,Pharmacologic Substance,Biologically Active Substance,Amino Acid; Peptide; or Protein
C2825662,Serlopitant,USAN_TC,Pharmacologic Substance,Organic Chemical,
C2699290,Sermetacin,USAN_TC,Pharmacologic Substance,Organic Chemical,
C0142046,Sermorelin,DrugBank,Pharmacologic Substance,Amino Acid; Peptide; or Protein,
C0036751,Serotonin,ChEBI,Neuroreactive Substance or Biogenic Amine,Organic Chemical,
C0036764,Serpins,MeSH_PA,Pharmacologic Substance,Biologically Active Substance,Amino Acid; Peptide; or Protein
C0074389,Serratiopeptidase,MeSH_PA,Pharmacologic Substance,Enzyme,Amino Acid; Peptide; or Protein
C0074391,Sertaconazole,DrugBank,Pharmacologic Substance,Organic Chemical,
C0084528,Sertindole,ChEBI,Pharmacologic Substance,Organic Chemical,
C0074393,Sertraline,ChEBI,Pharmacologic Substance,Organic Chemical,
C0074405,Sesamin,MeSH_PA,Pharmacologic Substance,Organic Chemical,
C0084530,Sesamodil,MeSH_PA,Pharmacologic Substance,Organic Chemical,
C0074406,Sesamol,MeSH_PA,Pharmacologic Substance,Organic Chemical,
C3253152,Setileuton,USAN_TC,Pharmacologic Substance,Organic Chemical,
C0074411,Setoperone,MeSH_PA,Indicator; Reagent; or Diagnostic Aid,Organic Chemical,
C0718050,Sevelamer,DrugBank,Pharmacologic Substance,Organic Chemical,
C0914798,Sevirumab,USAN_TC,Immunologic Factor,,
C0074414,Sevoflurane,ChEBI,Pharmacologic Substance,Organic Chemical,
C0066645,Sezolamide,MeSH_PA,Pharmacologic Substance,Organic Chemical,
C0074445,Shellac,USAN_TC,Biomedical or Dental Material,Organic Chemical,
C0074455,Shikonin,MeSH_PA,Pharmacologic Substance,Organic Chemical,
C0074460,Shogaol,MeSH_PA,Pharmacologic Substance,Organic Chemical,
C0037014,Showdomycin,MeSH_PA,Pharmacologic Substance,Nucleic Acid; Nucleoside; or Nucleotide,
C2699299,Sibopirdine,USAN_TC,Pharmacologic Substance,Organic Chemical,
C0528716,Sibrafiban,MeSH_PA,Pharmacologic Substance,Organic Chemical,
C0074493,Sibutramine,DrugBank,Pharmacologic Substance,Organic Chemical,
C0074500,Sidnocarb,MeSH_PA,Pharmacologic Substance,Organic Chemical,
C2986882,Sifalimumab,USAN_TC,Pharmacologic Substance,Immunologic Factor,
C0208842,Siguazodan,MeSH_PA,Pharmacologic Substance,Organic Chemical,
C1259873,Silafluofen,ChEBI,Hazardous or Poisonous Substance,Organic Chemical,
C3272470,Silandrone,USAN_TC,Pharmacologic Substance,Steroid,
C0529793,Sildenafil,ChEBI,Pharmacologic Substance,Organic Chemical,
C0037107,Silicon,MeSH_PA,Element; Ion; or Isotope,,
C1609931,Siltuximab,USAN_TC,Pharmacologic Substance,Immunologic Factor,Amino Acid; Peptide; or Protein
C0600334,Silybin,MeSH_PA,Pharmacologic Substance,Organic Chemical,
C0074546,Silychristin,ChEBI,Pharmacologic Substance,Organic Chemical,
C0037135,Silymarin,MeSH_PA,Pharmacologic Substance,Organic Chemical,
C0037136,Simazine,MeSH_PA,Hazardous or Poisonous Substance,Organic Chemical,
C0287806,Simendan,MeSH_PA,Pharmacologic Substance,Organic Chemical,
C0037138,Simethicone,DailyMed,Pharmacologic Substance,Biomedical or Dental Material,Organic Chemical
C2348209,Simtrazene,USAN_TC,Pharmacologic Substance,,
C0074554,Simvastatin,ChEBI,Pharmacologic Substance,Organic Chemical,
C0074557,Sinapine,ChEBI,Pharmacologic Substance,Organic Chemical,
C0754923,Sinapultide,USAN_TC,Biologically Active Substance,Amino Acid; Peptide; or Protein,
C0037167,Sincalide,USAN_TC,Pharmacologic Substance,Hormone,Amino Acid; Peptide; or Protein
C1960121,Sinecatechins,USAN_TC,Pharmacologic Substance,Organic Chemical,
C0074558,Sinefungin,ChEBI,Antibiotic,Organic Chemical,
C0217779,Sipatrigine,MeSH_PA,Pharmacologic Substance,Organic Chemical,
C1328709,Siplizumab,USAN_TC,Pharmacologic Substance,Immunologic Factor,Organic Chemical
C0072980,Sirolimus,ChEBI,Antibiotic,Organic Chemical,
C1098908,Sirtinol,ChEBI,Pharmacologic Substance,Organic Chemical,
C3254570,Sirukumab,USAN_TC,Immunologic Factor,Amino Acid; Peptide; or Protein,
C0037209,Sisomicin,MeSH_PA,Antibiotic,Carbohydrate,
C0171447,Sitafloxacin,USAN_TC,Antibiotic,Organic Chemical,
C1565750,Sitagliptin,ChEBI,Pharmacologic Substance,Organic Chemical,
C2983895,Sitogluside,USAN_TC,Pharmacologic Substance,Organic Chemical,
C0220914,Sitosterol,ChEBI,Pharmacologic Substance,Steroid,
C0130137,Sivelestat,MeSH_PA,Pharmacologic Substance,Organic Chemical,
C2700412,Sivifene,USAN_TC,Pharmacologic Substance,Organic Chemical,
C0036359,Sizofiran,MeSH_PA,Pharmacologic Substance,Carbohydrate,
C2936876,Sobetirome,USAN_TC,Pharmacologic Substance,Organic Chemical,
C1328702,Soblidotin,MeSH_PA,Pharmacologic Substance,Organic Chemical,
C0074714,Sobrerol,MeSH_PA,Pharmacologic Substance,Organic Chemical,
C0378253,Sobuzoxane,MeSH_PA,Pharmacologic Substance,Organic Chemical,
C2699319,Sodelglitazar,USAN_TC,Pharmacologic Substance,Organic Chemical,
C0142971,Sofalcone,MeSH_PA,Pharmacologic Substance,Organic Chemical,
C2825241,Sofinicline,USAN_TC,Pharmacologic Substance,Organic Chemical,
C3530148,Sofosbuvir,USAN_TC,Pharmacologic Substance,Nucleic Acid; Nucleoside; or Nucleotide,
C2003056,Solabegron,MeSH_PA,Pharmacologic Substance,Organic Chemical,
C2935150,Solanezumab,USAN_TC,Pharmacologic Substance,Immunologic Factor,Amino Acid; Peptide; or Protein
C1098593,Solavetivone,ChEBI,Pharmacologic Substance,Organic Chemical,
C0074800,Solcoderm,MeSH_PA,Pharmacologic Substance,,
C0074803,Solcotrichovac,MeSH_PA,Pharmacologic Substance,Immunologic Factor,
C1099677,Solifenacin,DrugBank,Pharmacologic Substance,Organic Chemical,
C2981358,Solimastat,USAN_TC,Pharmacologic Substance,,
C0037643,Soman,MeSH_PA,Pharmacologic Substance,Hazardous or Poisonous Substance,Organophosphorus Compound
C0037659,Somatostatin,MeSH_PA,Pharmacologic Substance,Hormone,Amino Acid; Peptide; or Protein
C0143083,Somatrem,USAN_TC,Pharmacologic Substance,Hormone,Amino Acid; Peptide; or Protein
C0169964,Somatropin,DailyMed,Pharmacologic Substance,Hormone,Amino Acid; Peptide; or Protein
C0521959,Sometribove,USAN_TC,Pharmacologic Substance,Hormone,Amino Acid; Peptide; or Protein
C0650352,Somfasepor,USAN_TC,Amino Acid; Peptide; or Protein,,
C3252337,Sonazoid,MeSH_PA,Indicator; Reagent; or Diagnostic Aid,Inorganic Chemical,
C1516119,Sorafenib,ChEBI,Pharmacologic Substance,Organic Chemical,
C0074909,Sorbinil,ChEBI,Pharmacologic Substance,Organic Chemical,
C0037688,Sorbitol,DailyMed,Pharmacologic Substance,Carbohydrate,
C0601770,Sordarin,ChEBI,Antibiotic,,
C0207628,Sorivudine,MeSH_PA,Pharmacologic Substance,Nucleic Acid; Nucleoside; or Nucleotide,
C0037707,Sotalol,ChEBI,Pharmacologic Substance,Organic Chemical,
C2699571,Sotatercept,USAN_TC,Pharmacologic Substance,Amino Acid; Peptide; or Protein,
C2699494,Sotirimod,USAN_TC,Pharmacologic Substance,Organic Chemical,
C2742796,Sotrastaurin,USAN_TC,Pharmacologic Substance,Organic Chemical,
C0074941,Spantide,MeSH_PA,Pharmacologic Substance,Amino Acid; Peptide; or Protein,
C0052585,Sparfloxacin,DrugBank,Antibiotic,Organic Chemical,
C0037759,Sparsomycin,MeSH_PA,Antibiotic,Organic Chemical,
C0037760,Sparteine,MeSH_PA,Pharmacologic Substance,Organic Chemical,
C0001268,Spectinomycin,DrugBank,Antibiotic,Organic Chemical,
C0074964,Spergualin,MeSH_PA,Pharmacologic Substance,Organic Chemical,
C0037874,Spermine,DrugBank,Neuroreactive Substance or Biogenic Amine,Organic Chemical,
C0331077,Spigelia,DailyMed,Plant,,
C0961781,Spinosad,ChEBI,Pharmacologic Substance,Organic Chemical,
C0037956,Spiperone,ChEBI,Pharmacologic Substance,Organic Chemical,
C0143266,Spiradoline,MeSH_PA,Pharmacologic Substance,Organic Chemical,
C0075006,Spiramide,ChEBI,Pharmacologic Substance,Organic Chemical,
C0037962,Spiramycin,MeSH_PA,Antibiotic,Organic Chemical,
C0075007,Spirapril,DrugBank,Pharmacologic Substance,Organic Chemical,
C0172689,Spiraprilat,USAN_TC,Pharmacologic Substance,Amino Acid; Peptide; or Protein,
C0075018,Spirogermanium,MeSH_PA,Pharmacologic Substance,Organic Chemical,
C1958881,Spiromesifen,ChEBI,Organic Chemical,,
C0075019,Spiromustine,USAN_TC,Pharmacologic Substance,Organic Chemical,
C0037982,Spironolactone,ChEBI,Pharmacologic Substance,Steroid,
C0075022,Spiroplatin,MeSH_PA,Pharmacologic Substance,Organic Chemical,
C1722366,Spiroxamine,ChEBI,Organic Chemical,,
C0075025,Spiroxatrine,MeSH_PA,Pharmacologic Substance,Organic Chemical,
C0286366,Sprodiamide,MeSH_PA,Indicator; Reagent; or Diagnostic Aid,Organic Chemical,
C0213314,Squalamine,MeSH_PA,Pharmacologic Substance,Steroid,
C0075083,Squalane,USAN_TC,Pharmacologic Substance,Indicator; Reagent; or Diagnostic Aid,Lipid
C0038071,Squalene,PDR,Pharmacologic Substance,Indicator; Reagent; or Diagnostic Aid,Lipid
C0244119,Stallimycin,MeSH_PA,Antibiotic,Amino Acid; Peptide; or Protein,
C1721391,Stamulumab,USAN_TC,Pharmacologic Substance,Immunologic Factor,Amino Acid; Peptide; or Protein
C0038149,Stanozolol,DrugBank,Pharmacologic Substance,Hormone,Steroid
C0075176,Staphylococcin,MeSH_PA,Antibiotic,Amino Acid; Peptide; or Protein,
C0075182,Staphyloxanthin,ChEBI,Biologically Active Substance,Organic Chemical,
C0038179,Starch,DailyMed,Pharmacologic Substance,Biologically Active Substance,Carbohydrate
C0075192,Statolon,USAN_TC,Pharmacologic Substance,Carbohydrate,
C0075193,Staurosporine,ChEBI,Pharmacologic Substance,Organic Chemical,
C0164662,Stavudine,ChEBI,Pharmacologic Substance,Nucleic Acid; Nucleoside; or Nucleotide,
C0075211,Steffimycin,USAN_TC,Organic Chemical,,
C0075226,Stepholidine,MeSH_PA,Pharmacologic Substance,Organic Chemical,
C0075227,Stepronin,DrugBank,Pharmacologic Substance,Organic Chemical,
C0075246,Stevioside,MeSH_PA,Pharmacologic Substance,Organic Chemical,
C0075249,Stichoposide,MeSH_PA,Pharmacologic Substance,Carbohydrate,
C0075252,Stigmastanol,MeSH_PA,Pharmacologic Substance,Organic Chemical,
C0075254,Stigmatellin,MeSH_PA,Pharmacologic Substance,Organic Chemical,
C0075262,Stiripentol,MeSH_PA,Pharmacologic Substance,Organic Chemical,
C0439989,Storax,USAN_TC,Pharmacologic Substance,Organic Chemical,
C0075278,Streptavidin,MeSH_PA,Biologically Active Substance,Indicator; Reagent; or Diagnostic Aid,Amino Acid; Peptide; or Protein
C0205997,Streptogramins,MeSH_PA,Antibiotic,Amino Acid; Peptide; or Protein,
C0038418,Streptokinase,DrugBank,Pharmacologic Substance,Enzyme,Amino Acid; Peptide; or Protein
C1723712,Streptokordin,ChEBI,Pharmacologic Substance,Organic Chemical,
C0038425,Streptomycin,ChEBI,Antibiotic,Carbohydrate,
C0075315,Streptonicozid,USAN_TC,Pharmacologic Substance,Organic Chemical,
C0038427,Streptonigrin,ChEBI,Antibiotic,Organic Chemical,
C0038430,Streptovaricin,MeSH_PA,Antibiotic,Organic Chemical,
C0038432,Streptozocin,ChEBI,Antibiotic,Carbohydrate,
C0038472,Strophanthins,MeSH_PA,Pharmacologic Substance,Biologically Active Substance,Carbohydrate
C0075338,Struvite,MeSH_PA,Biologically Active Substance,Inorganic Chemical,
C0202474,Strychnine,ChEBI,Pharmacologic Substance,Hazardous or Poisonous Substance,Organic Chemical
C0075366,Subecholine,MeSH_PA,Organic Chemical,,
C0012384,Succimer,ChEBI,Pharmacologic Substance,Indicator; Reagent; or Diagnostic Aid,Organic Chemical
C1721335,Succinobucol,USAN_TC,Pharmacologic Substance,Organic Chemical,
C0075455,Succinylacetone,MeSH_PA,Pharmacologic Substance,Lipid,
C0038627,Succinylcholine,ChEBI,Pharmacologic Substance,Organic Chemical,
C0038633,Sucralfate,DailyMed,Pharmacologic Substance,Carbohydrate,
C0038636,Sucrose,ChEBI,Biologically Active Substance,Carbohydrate,
C0075493,Sudoxicam,USAN_TC,Pharmacologic Substance,Organic Chemical,
C0143993,Sufentanil,ChEBI,Pharmacologic Substance,Organic Chemical,
C0075495,Sufotidine,USAN_TC,Pharmacologic Substance,Organic Chemical,
C2348591,Sulazepam,USAN_TC,Pharmacologic Substance,,
C0038665,Sulbactam,MeSH_PA,Antibiotic,Organic Chemical,
C0038666,Sulbenicillin,MeSH_PA,Antibiotic,Organic Chemical,
C0609337,Sulbenox,USAN_TC,Pharmacologic Substance,Organic Chemical,
C0075503,Sulconazole,MeSH_PA,Pharmacologic Substance,Organic Chemical,
C0075504,Sulfabenzamide,NDFRT,Antibiotic,Organic Chemical,
C0038670,Sulfacetamide,ChEBI,Pharmacologic Substance,Organic Chemical,
C0038672,Sulfachloropyridazine,ChEBI,Antibiotic,Organic Chemical,
C0262960,Sulfacytine,DrugBank,Antibiotic,Organic Chemical,
C0038675,Sulfadiazine,ChEBI,Pharmacologic Substance,Organic Chemical,
C0038676,Sulfadimethoxine,ChEBI,Antibiotic,Organic Chemical,
C0038679,Sulfadoxine,ChEBI,Pharmacologic Substance,Organic Chemical,
C0038681,Sulfaguanidine,MeSH_PA,Antibiotic,Organic Chemical,
C0038683,Sulfalene,MeSH_PA,Pharmacologic Substance,Organic Chemical,
C0038684,Sulfamerazine,ChEBI,Pharmacologic Substance,Organic Chemical,
C0038685,Sulfameter,MeSH_PA,Antibiotic,Organic Chemical,
C0038686,Sulfamethazine,ChEBI,Antibiotic,Organic Chemical,
C0038687,Sulfamethizole,ChEBI,Pharmacologic Substance,Organic Chemical,
C0038689,Sulfamethoxazole,ChEBI,Antibiotic,Organic Chemical,
C0038693,Sulfamethoxypyridazine,ChEBI,Antibiotic,Organic Chemical,
C0038699,Sulfamonomethoxine,MeSH_PA,Pharmacologic Substance,Organic Chemical,
C0038700,Sulfamoxole,ChEBI,Pharmacologic Substance,Organic Chemical,
C0038702,Sulfanilamide,ChEBI,Antibiotic,Organic Chemical,
C0038703,Sulfanilamides,MeSH_PA,Pharmacologic Substance,Organic Chemical,
C0075519,Sulfanitran,USAN_TC,Antibiotic,Organic Chemical,
C0038706,Sulfaphenazole,DrugBank,Pharmacologic Substance,Organic Chemical,
C0038710,Sulfapyridine,ChEBI,Antibiotic,Organic Chemical,
C0038711,Sulfaquinoxaline,MeSH_PA,Antibiotic,Organic Chemical,
C0036078,Sulfasalazine,ChEBI,Pharmacologic Substance,Organic Chemical,
C2699716,Sulfasomizole,USAN_TC,Antibiotic,Organic Chemical,
C0038722,Sulfathiazole,ChEBI,Pharmacologic Substance,Organic Chemical,
C0038723,Sulfathiazoles,MeSH_PA,Pharmacologic Substance,Organic Chemical,
C0038742,Sulfinpyrazone,ChEBI,Pharmacologic Substance,Organic Chemical,
C0038744,Sulfisomidine,ChEBI,Pharmacologic Substance,Organic Chemical,
C0038745,Sulfisoxazole,ChEBI,Pharmacologic Substance,Organic Chemical,
C0038753,Sulfobromophthalein,MeSH_PA,Pharmacologic Substance,Indicator; Reagent; or Diagnostic Aid,Organic Chemical
C0075572,Sulfolane,MeSH_PA,Pharmacologic Substance,Organic Chemical,
C0521887,Sulfomyxin,USAN_TC,Antibiotic,Organic Chemical,
C0163159,Sulforafan,MeSH_PA,Pharmacologic Substance,Organic Chemical,
C0075591,Sulforidazine,MeSH_PA,Pharmacologic Substance,Organic Chemical,
C0075601,Sulfotep,ChEBI,Hazardous or Poisonous Substance,Organic Chemical,
C0075606,Sulfoxone,DrugBank,Pharmacologic Substance,Organic Chemical,
C0038774,Sulfur,DailyMed,Pharmacologic Substance,Element; Ion; or Isotope,
C0075614,Sulglicotide,MeSH_PA,Pharmacologic Substance,Amino Acid; Peptide; or Protein,
C0038792,Sulindac,ChEBI,Pharmacologic Substance,Organic Chemical,
C0075618,Sulisobenzone,USAN_TC,Pharmacologic Substance,Organic Chemical,
C2699721,Sulmarin,USAN_TC,Pharmacologic Substance,Organic Chemical,
C0075619,Sulmazole,ChEBI,Pharmacologic Substance,Organic Chemical,
C2348602,Sulnidazole,USAN_TC,Pharmacologic Substance,,
C0038795,Suloctidil,MeSH_PA,Pharmacologic Substance,Organic Chemical,
C0165187,Sulofenur,MeSH_PA,Pharmacologic Substance,Organic Chemical,
C0660847,Sulopenem,USAN_TC,Antibiotic,Organic Chemical,
C0075621,Sulotroban,MeSH_PA,Pharmacologic Substance,Organic Chemical,
C0165161,Sulperazone,MeSH_PA,Pharmacologic Substance,Organic Chemical,
C1101580,Sulphostin,MeSH_PA,Pharmacologic Substance,Organic Chemical,
C0038803,Sulpiride,ChEBI,Pharmacologic Substance,Organic Chemical,
C0075627,Sulprofos,ChEBI,Pharmacologic Substance,Organophosphorus Compound,
C0075628,Sulprostone,MeSH_PA,Pharmacologic Substance,Eicosanoid,
C0075629,Sultamicillin,MeSH_PA,Antibiotic,Organic Chemical,
C0038807,Sulthiame,MeSH_PA,Pharmacologic Substance,Organic Chemical,
C0075630,Sultopride,MeSH_PA,Pharmacologic Substance,Organic Chemical,
C2699726,Sulukast,USAN_TC,Pharmacologic Substance,Organic Chemical,
C0165872,Sumarotene,USAN_TC,Pharmacologic Substance,Organic Chemical,
C0075632,Sumatriptan,ChEBI,Pharmacologic Substance,Organic Chemical,
C0950029,Sundew,DailyMed,Plant,,
C1176020,Sunitinib,ChEBI,Pharmacologic Substance,Organic Chemical,
C0038836,Superoxides,MeSH_PA,Element; Ion; or Isotope,,
C3273092,Suproclone,USAN_TC,Pharmacologic Substance,Steroid,
C0038878,Suprofen,ChEBI,Pharmacologic Substance,Organic Chemical,
C0038880,Suramin,ChEBI,Pharmacologic Substance,Organic Chemical,
C0075659,Surfomer,USAN_TC,Organic Chemical,,
C0075662,Suriclone,MeSH_PA,Pharmacologic Substance,Organic Chemical,
C1528182,Surinabant,MeSH_PA,Pharmacologic Substance,Organic Chemical,
C0083363,Suritozole,USAN_TC,Pharmacologic Substance,Organic Chemical,
C3179535,Suvorexant,USAN_TC,Pharmacologic Substance,Organic Chemical,
C0075667,Suxibuzone,ChEBI,Pharmacologic Substance,Organic Chemical,
C0085535,Swainsonine,ChEBI,Pharmacologic Substance,Organic Chemical,
C1121854,Symbicort,MeSH_PA,Pharmacologic Substance,Organic Chemical,
C0285450,Symclosene,USAN_TC,Pharmacologic Substance,Organic Chemical,
C0385927,Synaptojanin,MeSH_PA,Enzyme,Amino Acid; Peptide; or Protein,
C0039086,Synephrine,MeSH_PA,Pharmacologic Substance,Organic Chemical,
C0075707,Syntometrine,MeSH_PA,Pharmacologic Substance,Amino Acid; Peptide; or Protein,
C2744906,Syringetin,ChEBI,Pharmacologic Substance,Organic Chemical,
C0075711,Syringomycin,MeSH_PA,Pharmacologic Substance,Amino Acid; Peptide; or Protein,
C2984518,Tabalumab,USAN_TC,Pharmacologic Substance,Amino Acid; Peptide; or Protein,
C0525156,Tabersonine,ChEBI,Organic Chemical,,
C0075762,Tabun,MeSH_PA,Hazardous or Poisonous Substance,Organophosphorus Compound,
C0039241,Tachykinins,MeSH_PA,Neuroreactive Substance or Biogenic Amine,Hormone,Amino Acid; Peptide; or Protein
C0039245,Tacrine,DrugBank,Pharmacologic Substance,Organic Chemical,
C0085149,Tacrolimus,DailyMed,Pharmacologic Substance,Organic Chemical,
C1176316,Tadalafil,ChEBI,Pharmacologic Substance,Organic Chemical,
C2982108,Tadocizumab,USAN_TC,Pharmacologic Substance,Immunologic Factor,
C2745274,Tafamidis,USAN_TC,Organic Chemical,,
C0903411,Tafenoquine,MeSH_PA,Pharmacologic Substance,Organic Chemical,
C1451502,Tafluprost,ChEBI,Pharmacologic Substance,Eicosanoid,
C0075773,Tagatose,MeSH_PA,Pharmacologic Substance,Carbohydrate,
C0075780,Taipoxin,MeSH_PA,Pharmacologic Substance,Biologically Active Substance,Hazardous or Poisonous Substance
C2002307,Talabostat,USAN_TC,Amino Acid; Peptide; or Protein,,
C0039266,Talampicillin,MeSH_PA,Antibiotic,Organic Chemical,
C2606129,Talarozole,USAN_TC,Pharmacologic Substance,Organic Chemical,
C0301407,Talbutal,DrugBank,Pharmacologic Substance,Organic Chemical,
C0039267,Talc,DailyMed,Pharmacologic Substance,Biomedical or Dental Material,Inorganic Chemical
C0075781,Taleranol,USAN_TC,Biologically Active Substance,Organic Chemical,
C0075783,Talinolol,MeSH_PA,Pharmacologic Substance,Organic Chemical,
C0075784,Talipexole,MeSH_PA,Pharmacologic Substance,Organic Chemical,
C0075786,Talisomycin,USAN_TC,Antibiotic,Amino Acid; Peptide; or Protein,
C0286890,Tallimustine,MeSH_PA,Pharmacologic Substance,Organic Chemical,
C2699882,Talmapimod,USAN_TC,Pharmacologic Substance,Organic Chemical,
C2699883,Talmetacin,USAN_TC,Pharmacologic Substance,Organic Chemical,
C0772080,Talniflumate,USAN_TC,Pharmacologic Substance,Organic Chemical,
C2699885,Talosalate,USAN_TC,Pharmacologic Substance,Organic Chemical,
C1701406,Tamarixetin,ChEBI,Biologically Active Substance,Carbohydrate,
C2699889,Tameridone,USAN_TC,Pharmacologic Substance,Organic Chemical,
C1567753,Tamibarotene,ChEBI,Pharmacologic Substance,Organic Chemical,
C0039286,Tamoxifen,ChEBI,Pharmacologic Substance,Organic Chemical,
C0257343,Tamsulosin,ChEBI,Pharmacologic Substance,Organic Chemical,
C0074676,Tandospirone,MeSH_PA,Pharmacologic Substance,Organic Chemical,
C0675974,Tanespimycin,ChEBI,Antibiotic,Organic Chemical,
C2346819,Tanezumab,USAN_TC,Pharmacologic Substance,Immunologic Factor,Amino Acid; Peptide; or Protein
C0075807,Tangeretin,ChEBI,Pharmacologic Substance,Organic Chemical,
C0075810,Tanshinone,MeSH_PA,Pharmacologic Substance,Organic Chemical,
C0075812,Taprostene,MeSH_PA,Pharmacologic Substance,Eicosanoid,
C0657649,Taraxasterol,ChEBI,Steroid,,
C1327754,Tarenflurbil,USAN_TC,Pharmacologic Substance,Organic Chemical,
C0879444,Tariquidar,USAN_TC,Pharmacologic Substance,Organic Chemical,
C0039329,Tartrazine,ChEBI,Indicator; Reagent; or Diagnostic Aid,Organic Chemical,
C1313052,Tasimelteon,USAN_TC,Organic Chemical,,
C0662811,Tasosartan,DrugBank,Pharmacologic Substance,Organic Chemical,
C2716826,Taspoglutide,USAN_TC,Amino Acid; Peptide; or Protein,,
C0144567,Taurolidine,MeSH_PA,Pharmacologic Substance,Organic Chemical,
C0075859,Tautomycin,MeSH_PA,Antibiotic,Organic Chemical,
C0215136,Taxane,MeSH_PA,Pharmacologic Substance,Organic Chemical,
C0075861,Taxifolin,MeSH_PA,Organic Chemical,,
C0288792,Tazarotene,ChEBI,Pharmacologic Substance,Organic Chemical,
C0075870,Tazobactam,MeSH_PA,Antibiotic,Organic Chemical,
C0669581,Tazofelone,USAN_TC,Pharmacologic Substance,Organic Chemical,
C0084728,Tebufelone,USAN_TC,Pharmacologic Substance,Organic Chemical,
C0527710,Tebufenozide,MeSH_PA,Hazardous or Poisonous Substance,Organic Chemical,
C0967244,Tebufenpyrad,ChEBI,Hazardous or Poisonous Substance,Organic Chemical,
C0144939,Tebuquine,USAN_TC,Pharmacologic Substance,Organic Chemical,
C1672862,Tecadenoson,USAN_TC,Pharmacologic Substance,Nucleic Acid; Nucleoside; or Nucleotide,
C2932026,Tecarfarin,USAN_TC,Organic Chemical,,
C0539969,Tecastemizole,USAN_TC,Pharmacologic Substance,Organic Chemical,
C2825351,Teceleukin,USAN_TC,Pharmacologic Substance,Organic Chemical,
C0076032,Teclozan,USAN_TC,Pharmacologic Substance,Organic Chemical,
C2713595,Tecovirimat,USAN_TC,Pharmacologic Substance,Organic Chemical,
C0076034,Tedisamil,MeSH_PA,Pharmacologic Substance,Organic Chemical,
C1530889,Teduglutide,ChEBI,Pharmacologic Substance,Amino Acid; Peptide; or Protein,
C0076040,Teferrol,MeSH_PA,Pharmacologic Substance,Carbohydrate,
C0076042,Teflurane,USAN_TC,Pharmacologic Substance,Organic Chemical,
C0016778,Tegafur,MeSH_PA,Pharmacologic Substance,Nucleic Acid; Nucleoside; or Nucleotide,
C0537147,Tegaserod,ChEBI,Pharmacologic Substance,Organic Chemical,
C3491976,Tegobuvir,USAN_TC,Pharmacologic Substance,Organic Chemical,
C0145106,Teicoplanin,DrugBank,Antibiotic,Amino Acid; Peptide; or Protein,
C1876229,Telaprevir,ChEBI,Pharmacologic Substance,Amino Acid; Peptide; or Protein,
C1453642,Telavancin,ChEBI,Antibiotic,Amino Acid; Peptide; or Protein,Carbohydrate
C1453933,Telbivudine,ChEBI,Pharmacologic Substance,Nucleic Acid; Nucleoside; or Nucleotide,
C2713633,Telcagepant,USAN_TC,Organic Chemical,,
C0076066,Telenzepine,MeSH_PA,Pharmacologic Substance,Organic Chemical,
C0076068,Teleocidins,MeSH_PA,Pharmacologic Substance,Hazardous or Poisonous Substance,
C2699908,Telinavir,USAN_TC,Pharmacologic Substance,Organic Chemical,
C0907410,Telithromycin,DrugBank,Antibiotic,Organic Chemical,
C0248719,Telmisartan,ChEBI,Pharmacologic Substance,Organic Chemical,
C0076075,Temafloxacin,DrugBank,Antibiotic,Organic Chemical,
C3273105,Temanogrel,USAN_TC,Pharmacologic Substance,,
C0039468,Temazepam,DailyMed,Pharmacologic Substance,Organic Chemical,
C0000714,Temefos,MeSH_PA,Hazardous or Poisonous Substance,Organophosphorus Compound,
C0076078,Temelastine,MeSH_PA,Pharmacologic Substance,Organic Chemical,
C0754549,Temiverine,MeSH_PA,Pharmacologic Substance,Organic Chemical,
C0076079,Temocillin,MeSH_PA,Antibiotic,Organic Chemical,
C2699909,Temodox,USAN_TC,Pharmacologic Substance,Organic Chemical,
C0379149,Temoporfin,ChEBI,Pharmacologic Substance,Organic Chemical,
C0076080,Temozolomide,ChEBI,Pharmacologic Substance,Organic Chemical,
C0045283,Tempol,MeSH_PA,Pharmacologic Substance,Organic Chemical,
C1707080,Temsirolimus,DrugBank,Pharmacologic Substance,Organic Chemical,
C0076090,Tendamistate,MeSH_PA,Pharmacologic Substance,Amino Acid; Peptide; or Protein,
