und_umls_cuii,ind_umls_pt,ind_umls_sem_typ1
C1150621,Granulocyte Macrophage Colony-Stimulating Factor Receptor Activity,Molecular Function
C0162311,Androgenetic Alopecia,Disease or Syndrome
C0019572,Hirsutism,Finding
C0476293,Urinary System Symptoms,Sign or Symptom
C0752303,Urological Manifestations,Sign or Symptom
C0340477,Re-Entrant Atrioventricular Tachycardia,Disease or Syndrome
C3163330,Potassium Channel Openers,Molecular Function
C0334277,Adenocarcinoma; Metastatic,Neoplastic Process
C0345904,Malignant Neoplasm Of Liver,Neoplastic Process
C0005716,Blastomycosis,Disease or Syndrome
C0009186,Coccidioidomycosis,Disease or Syndrome
C0085082,Fungemia,Disease or Syndrome
C0019655,Histoplasmosis,Disease or Syndrome
C0085436,Meningitis; Cryptococcal,Disease or Syndrome
C0153254,Candidal Endocarditis,Disease or Syndrome
C0349009,Candidal Septicemia,Disease or Syndrome
C0010414,Infection By Cryptococcus Neoformans,Disease or Syndrome
C0343866,Other Urogenital Candidiasis,Disease or Syndrome
C0748116,Pulmonary Cryptococcus,Disease or Syndrome
C0008582,Chromoblastomycosis,Disease or Syndrome
C0024116,Lung Diseases; Fungal,Disease or Syndrome
C1411314,Salt-Losing; Syndrome; Adrenogenital,Disease or Syndrome
C0271738,Secondary Hypocortisolism,Disease or Syndrome
C0282402,Hormone Replacement Therapy,Therapeutic or Preventive Procedure
C0572933,Benzodiazepine Overdose,Injury or Poisoning
C0278134,Absence Of Sensation,Sign or Symptom
C0261856,Benzodiazepine-Based Tranquilizers Causing Adverse Effects In Therapeutic Use,Injury or Poisoning
C1385232,Vascular; Disorder; Peripheral (Occlusive),Disease or Syndrome
C1322281,Seasonal Rhinitis,Disease or Syndrome
C0180109,Contrast Media; Radiographic/Fluoroscopic,Indicator; Reagent; or Diagnostic Aid
C0080233,Tooth Loss,Acquired Abnormality
C0235974,Pancreatic Carcinoma,Neoplastic Process
C0007113,Rectal Carcinoma,Neoplastic Process
C0699791,Stomach Carcinoma,Neoplastic Process
C0750952,Biliary Tract Cancer,Neoplastic Process
C0007095,Carcinoid Tumor,Neoplastic Process
C0302592,Cervix Carcinoma,Neoplastic Process
C0007102,Malignant Tumor Of Colon,Neoplastic Process
C0546837,Malignant Neoplasm Of Esophagus,Neoplastic Process
C0577305,Multiple Lesions,Finding
C0007117,Basal Cell Carcinoma,Neoplastic Process
C0034885,Rectal Neoplasms,Neoplastic Process
C2267227,Bulimia Nervosa,Mental or Behavioral Dysfunction
C0278493,Breast Cancer Recurrent,Neoplastic Process
C0850826,Localized Skin Lesion,Finding
C0745348,Intermittency,Finding
C1277595,Poor Sleep Pattern,Finding
C0006444,Bursitis,Disease or Syndrome
C0037578,Soft Tissue Injuries,Injury or Poisoning
C0039503,Tendinitis,Disease or Syndrome
C0024440,Macular Edema; Cystoid,Disease or Syndrome
C0026205,Miosis Disorder,Finding
C1816386,Alcohol Dehydrogenase (Nad) Activity,Molecular Function
C0413194,Ethylene Glycol Poisoning (Disorder),Injury or Poisoning
C0161680,Toxic Effect Of Methyl Alcohol,Injury or Poisoning
C0019004,Hemodialysis,Therapeutic or Preventive Procedure
C0042790,Vision Disorders,Finding
C0026381,Molecular Probes,Indicator; Reagent; or Diagnostic Aid
C0079925,Oligonucleotides; Antisense,Biologically Active Substance
C2048814,Increased Foot Odor,Sign or Symptom
C0424557,Sweaty Feet,Finding
C1273489,Asthma Night-Time Symptoms,Finding
C1846547,Herpes Simplex Virus Infection; Mucocutaneous,Finding
C0730345,Microalbuminuria,Disease or Syndrome
C0015401,Eye Foreign Bodies,Injury or Poisoning
C0549398,Meibomianitis,Disease or Syndrome
C1800706,Idiopathic Pulmonary Fibrosis,Disease or Syndrome
C1150103,Methionine Aminopeptidase Activity,Molecular Function
C1323519,Peptide Deformylase Activity,Molecular Function
C1656948,Microbial Collagenase Activity,Molecular Function
C0849784,Bacterial Diarrhoea,Disease or Syndrome
C0276774,Protozoal Intestinal Disease,Disease or Syndrome
C0023688,Ligands,Chemical
C0354100,Loop Diuretics,Pharmacologic Substance
C0032768,Postherpetic Neuralgia,Disease or Syndrome
C0349231,Phobic Anxiety Disorder,Mental or Behavioral Dysfunction
C0917798,Cerebral Ischemia,Disease or Syndrome
C0742468,Central Nervous System Lesion,Disease or Syndrome
C0412366,Scanning Or Imaging With Vascular Flow,Diagnostic Procedure
C1402316,Lesion; Vascular; Central Nervous System,Disease or Syndrome
C0007820,Cerebrovascular Disorders,Pathologic Function
C0263978,Disorder Of Soft Tissue,Disease or Syndrome
C2123631,Magnetic Resonance Imaging Of Abdomen: Nonspecific Abnormality Of Liver,Finding
C0400923,Vascular Disorder Of Liver,Disease or Syndrome
C0493823,Ultrasound Contrast Media,Indicator; Reagent; or Diagnostic Aid
C0679228,Diagnostic Criteria,Intellectual Product
C1270972,Mild Cognitive Disorder,Mental or Behavioral Dysfunction
C0026709,Mucopolysaccharidosis Vi,Disease or Syndrome
C0019357,Keratitis; Herpetic,Disease or Syndrome
C0333303,Dendritic Ulcer,Acquired Abnormality
C0276253,Cytomegaloviral Pneumonia,Disease or Syndrome
C0877424,Disseminated Cytomegalovirus Infection,Disease or Syndrome
C0085393,Immunocompromised Host,Finding
C0085083,Ovarian Hyperstimulation Syndrome,Disease or Syndrome
C0010153,Corynebacterium Infections,Disease or Syndrome
C0006935,Capsule (Pharmacologic),Biomedical or Dental Material
C0078974,Oligodeoxyribonucleotides; Antisense,Biologically Active Substance
C0281361,Adenocarcinoma Pancreas,Neoplastic Process
C0278489,Stage Iiia Breast Carcinoma,Neoplastic Process
C0278513,Stage Iiib Breast Carcinoma,Neoplastic Process
C0887833,Carcinoma; Pancreatic Ductal,Neoplastic Process
C0030305,Pancreatitis,Disease or Syndrome
C0442804,Very High,Finding
C3267202,Multidrug resistant Streptococcus pneumoniae infection,Disease or Syndrome
C0155862,Streptococcal Pneumonia,Disease or Syndrome
C0023479,Acute Myelomonocytic Leukemia,Neoplastic Process
C0574785,Lower Urinary Tract Symptoms,Sign or Symptom
C0038766,Sulfonylurea Compounds,Pharmacologic Substance
C1152056,Protein-Cysteine Farnesyltransferase Activity,Molecular Function
C0002797,Bovine Anaplasmosis,Disease or Syndrome
C0271650,Impaired Glucose Tolerance,Disease or Syndrome
C2260152,Serine Hydroxymethyltransferase Activity,Molecular Function
C0519503,Transurethral Surgical Procedures,Therapeutic or Preventive Procedure
C0593225,Irrigation Solution,Biomedical or Dental Material
C0035242,Respiratory Tract Diseases,Disease or Syndrome
C2256863,5-Enolpyruvylshikimate-3-Phosphate Synthase Activity,Molecular Function
C0032019,Pituitary Neoplasms,Neoplastic Process
C0034012,Delayed Puberty,Pathologic Function
C0034013,Precocious Puberty,Disease or Syndrome
C0263233,Cradle Cap,Disease or Syndrome
C1096232,Microsporum Infection,Disease or Syndrome
C2349994,Tinea Barbae,Disease or Syndrome
C0877265,Trichophyton Infection,Disease or Syndrome
C0242073,Pulmonary Congestion,Disease or Syndrome
C1442786,Acute Respiratory Tract Infection,Disease or Syndrome
C0023067,Laryngitis,Disease or Syndrome
C0027769,Nervousness,Sign or Symptom
C0233494,Tension,Mental or Behavioral Dysfunction
C0011206,Delirium,Mental or Behavioral Dysfunction
C0012734,Disruptive Behavior Disorder,Mental or Behavioral Dysfunction
C0260653,Problem Behavior,Mental or Behavioral Dysfunction
C0008066,Child Behavior Disorders,Mental or Behavioral Dysfunction
C0011119,Decompression Sickness,Disease or Syndrome
C0019537,High Pressure Neurological Syndrome,Disease or Syndrome
C0242676,Positive-Pressure Respiration; Intrinsic,Disease or Syndrome
C1875022,Diluent,Biomedical or Dental Material
C1719794,Medicinal Gas,Biomedical or Dental Material
C0268483,Tyrosinemias,Disease or Syndrome
C0032708,Disorders Of Porphyrin Metabolism,Disease or Syndrome
C0302148,Blood Clot,Acquired Abnormality
C0155919,Acute Pulmonary Edema,Disease or Syndrome
C2984351,Aurora Kinase Signaling Pathway,Functional Concept
C0427511,White Blood Cell Finding,Laboratory or Test Result
C1149850,Phosphatidylinositol Phospholipase C Activity,Molecular Function
C0312646,Finding Related To Response To Skin Test,Laboratory or Test Result
C1517205,Flare,Sign or Symptom
C0221232,Welts,Sign or Symptom
C0231749,Knee Pain,Sign or Symptom
C0332624,Dispersion,Spatial Concept
C0015379,Extravasation Of Diagnostic And Therapeutic Materials,Injury or Poisoning
C0332261,Spreading (Qualifier Value),Qualitative Concept
C1262162,Oral Administration Complication,Injury or Poisoning
C0375359,Chronic Left-Sided Ulcerative Colitis,Disease or Syndrome
C0267390,Chronic Ulcerative Rectosigmoiditis,Disease or Syndrome
C0581126,Severe Asthma,Finding
C0001627,Congenital Adrenal Hyperplasia,Congenital Abnormality
C0162817,Skin Diseases; Eczematous,Disease or Syndrome
C0857057,Blotchy,Sign or Symptom
C0025218,Chloasma,Disease or Syndrome
C0151907,Discoloration Of Skin,Pathologic Function
C0599750,Hormone Deficiency,Disease or Syndrome
C0162834,Hyperpigmentation,Pathologic Function
C0494870,Other Melanin Hyperpigmentation,Pathologic Function
C0036651,Senile Lentigo,Acquired Abnormality
C0599910,Skin Color,Organism Attribute
C1269684,Skin Pigmentation - Finding,Finding
C2237440,Brownish Discoloration Of Skin,Finding
C1274614,Ultraviolet-Induced Skin Pigmentation - Tanning,Finding
C0743188,Diarrhea Persistent,Disease or Syndrome
C0012166,Diet; Macrobiotic,Finding
C0344353,Vegan Diet,Finding
C1510527,Chronic Stress,Finding
C0162566,Porphyria Cutanea Tarda,Disease or Syndrome
C1324229,Alcohol Oxidase Activity,Molecular Function
C1150952,Cystathionine Beta-Synthase Activity,Molecular Function
C0042134,Uterine Hemorrhage,Pathologic Function
C0810243,Cancer; Other Primary,Neoplastic Process
C1704632,Disease Response,Finding
C0022790,Krukenberg Tumor,Neoplastic Process
C0231225,Pain Crisis,Finding
C1370868,Cml; Refractory,Neoplastic Process
C1540912,Hypereosinophilic Syndrome,Neoplastic Process
C0023518,Leukocytosis,Pathologic Function
C0040028,Thrombocythemia; Essential,Disease or Syndrome
C0263338,Chronic Urticaria,Disease or Syndrome
C0683324,Organic Disorders,Disease or Syndrome
C0426390,Bladder Spasm,Sign or Symptom
C0040822,Tremor,Sign or Symptom
C2004493,Leukemia; B-Cell,Neoplastic Process
C0031046,Pericarditis,Disease or Syndrome
C0233315,Premature Birth Of Newborn,Pathologic Function
C0232201,Sinus Rhythm,Finding
C0548923,Burn Infection,Disease or Syndrome
C0241863,Diabetic,Finding
C0026998,Acute Myeloid Leukemia; M1,Neoplastic Process
C0022573,Keratoconjunctivitis,Disease or Syndrome
C0022570,Keratitis; Dendritic,Disease or Syndrome
C0015407,Eye Infections; Viral,Disease or Syndrome
C0026705,Mucopolysaccharidosis Ii,Disease or Syndrome
C0085692,Hemorrhagic Cystitis,Disease or Syndrome
C0855197,Testicular Malignant Germ Cell Tumor,Neoplastic Process
C0278841,Testis Cancer Recurrent,Neoplastic Process
C2986605,Third-Line Therapy,Therapeutic or Preventive Procedure
C0009782,Connective Tissue Diseases,Disease or Syndrome
C0162521,Exercise Tolerance,Clinical Attribute
C1152750,Prostacyclin Receptor Activity,Molecular Function
C3179349,Gastrointestinal Stromal Sarcoma,Neoplastic Process
C0279543,Philadelphia Chromosome Positive Chronic Myelogenous Leukemia,Neoplastic Process
C0014347,Enterobacteriaceae Infections,Disease or Syndrome
C1386135,Acute Depression,Mental or Behavioral Dysfunction
C0013473,Eating Disorders,Mental or Behavioral Dysfunction
C0009663,Condylomata Acuminata,Disease or Syndrome
C0343730,Perianal Warts,Disease or Syndrome
C0021051,Immunologic Deficiency Syndromes,Disease or Syndrome
C0007193,Cardiomyopathy; Dilated,Disease or Syndrome
C0268000,Body Fluid Retention,Pathologic Function
C0235415,Salt Retention,Finding
C0018800,Cardiomegaly,Finding
C0232266,Continuous Murmur,Disease or Syndrome
C0232370,Florid Red Complexion (Finding),Finding
C1142035,Hyperdynamic Precordium,Sign or Symptom
C0476273,Respiratory Distress,Sign or Symptom
C0037011,Shoulder Pain,Sign or Symptom
C0262633,Shoulder Tendinitis,Disease or Syndrome
C0003868,Arthritis; Gouty,Disease or Syndrome
C3495559,Juvenile Arthritis,Disease or Syndrome
C1152162,Glycogen Phosphorylase Activity,Molecular Function
C2239176,Liver Carcinoma,Neoplastic Process
C0010403,Cryoglobulinemia,Disease or Syndrome
C0018916,Hemangioma,Neoplastic Process
C0011226,Hepatitis D Infection,Disease or Syndrome
C0020876,Ileal Neoplasms,Neoplastic Process
C0036920,Sezary Syndrome,Neoplastic Process
C0232809,Glomerular Filtration,Organ or Tissue Function
C0022662,Kidney Function Tests,Laboratory Procedure
C0204800,Preoperative Preparation Of Skin,Therapeutic or Preventive Procedure
C0086466,Injectables,Pharmacologic Substance
C0065885,Meglumine Iodipamide,Indicator; Reagent; or Diagnostic Aid
C0085313,Blastocystis Infections,Disease or Syndrome
C1273559,Intrathecal Administration Of Treatment,Therapeutic or Preventive Procedure
C0037928,Spinal Cord Diseases,Disease or Syndrome
C0040405,X-Ray Computed Tomography,Diagnostic Procedure
C0037939,Spinal Neoplasms,Neoplastic Process
C0006261,Bronchial Diseases,Disease or Syndrome
C0079595,Imaging Techniques,Diagnostic Procedure
C0019640,Histomoniasis,Disease or Syndrome
C1865878,Elevated Serum Creatinine,Finding
C0033687,Proteinuria,Finding
C0278584,Metastatic Carcinoma To The Uterine Cervix,Neoplastic Process
C0278579,Cervix Carcinoma Recurrent,Neoplastic Process
C0027627,Neoplasm Metastasis,Neoplastic Process
C0432923,Superficial Incised Wound,Injury or Poisoning
C0032964,Pregnancy Complications; Hematologic,Disease or Syndrome
C0596286,Cell Growth Regulation,Cell Function
C0264348,Chronic Asthmatic Bronchitis,Disease or Syndrome
C0267446,Acute Gastroenteritis,Disease or Syndrome
C0005416,Biliary Dyskinesia,Disease or Syndrome
C0008350,Cholelithiasis,Disease or Syndrome
C0013298,Duodenitis,Disease or Syndrome
C1405427,Irritability; Duodenum,Disease or Syndrome
C0080276,Disorder Of The Genitourinary System,Disease or Syndrome
C0281773,Acute Glaucoma,Disease or Syndrome
C0232823,Osmotic Diuresis,Organ or Tissue Function
C1274727,Acne Nodule,Disease or Syndrome
C0040021,Thromboangiitis Obliterans,Disease or Syndrome
C0025261,Memory Disorders,Mental or Behavioral Dysfunction
C0030409,Paracoccidioidomycosis,Disease or Syndrome
C0043541,Zygomycosis,Disease or Syndrome
C3271392,Steroid Hormone Secretion,Organ or Tissue Function
C1511437,Cftr Pathway,Molecular Function
C0920627,Orphan Diseases,Disease or Syndrome
C1865441,Cystic Fibrosis; Gly551asp,Gene or Genome
C1384353,Parasite Infestation,Disease or Syndrome
C0348997,Intestinal Strongyloidiasis,Disease or Syndrome
C0029001,Onchocerciasis,Disease or Syndrome
C0029002,Onchocerciasis; Ocular,Disease or Syndrome
C0038463,Strongyloidiasis,Disease or Syndrome
C0003950,Ascariasis,Disease or Syndrome
C0013882,Elephantiasis,Disease or Syndrome
C0024759,Mansonelliasis,Disease or Syndrome
C0019151,Hepatic Encephalopathy,Disease or Syndrome
C0740831,Aids Diarrhea,Disease or Syndrome
C0350056,Adsorbents,Pharmacologic Substance
C0521991,Symptoms Of Stress,Sign or Symptom
C0403723,Candiduria,Finding
C0553576,Systemic Mycosis,Disease or Syndrome
C0000880,Acanthamoeba Keratitis,Disease or Syndrome
C0848200,Afterbirth Pain,Sign or Symptom
C0039504,Tendon Injuries,Injury or Poisoning
C0155877,Allergic Asthma,Disease or Syndrome
C2936252,Plant Immunity,Physiologic Function
C2037813,Bleeding As Surgical Complication,Pathologic Function
C0750946,Nervous System Diseases; Sympathetic,Disease or Syndrome
C1536696,Overactivity,Finding
C2985546,Antibodies; Monoclonal; Humanized,Immunologic Factor
C1517701,Labetuzumab,Immunologic Factor
C0524909,Hepatitis B; Chronic,Disease or Syndrome
C0853193,Bipolar I Disorder,Mental or Behavioral Dysfunction
C0234533,Generalized Seizures,Disease or Syndrome
C1445641,Phenyltriazine Derivative Anticonvulsant,Pharmacologic Substance
C2008807,Frequent Heartburn,Sign or Symptom
C1699634,Her-2 Positive Breast Cancer,Neoplastic Process
C1514463,Prior Therapy,Clinical Attribute
C0026703,Mucopolysaccharidoses,Disease or Syndrome
C0023786,Mucopolysaccharidosis I,Disease or Syndrome
C0149676,Enzyme Deficiency,Disease or Syndrome
C1151754,Dihydroorotate Dehydrogenase Activity,Molecular Function
C0920641,Pyrimidine Metabolism Pathway,Molecular Function
C1521461,Loss Of Chromosome 5q,Cell or Molecular Dysfunction
C0008625,Chromosome Aberrations,Cell or Molecular Dysfunction
C0243083,Associated Disease,Pathologic Function
C1149183,Interleukin Receptor Activity,Molecular Function
C1827687,Chemotherapy-Induced Neutropenia,Disease or Syndrome
C1150620,Granulocyte Colony-Stimulating Factor Receptor Activity,Molecular Function
C1149206,Interleukin-3 Receptor Activity,Molecular Function
C1836233,Aids; Progression To,Finding
C2986665,Early-Stage Breast Carcinoma,Neoplastic Process
C0856220,Drug Toxicity Due To Accidental Overdosage,Injury or Poisoning
C0683141,Drug Excretion,Organism Function
C0568062,Methotrexate Poisoning,Injury or Poisoning
C0025677,Methotrexate,Pharmacologic Substance
C0023267,Fibroid Tumor,Neoplastic Process
C0270850,Idiopathic Generalized Epilepsy,Disease or Syndrome
C0270853,Myoclonic Epilepsy; Juvenile,Disease or Syndrome
C0007020,Carbon Monoxide Poisoning,Injury or Poisoning
C0030569,Secondary Parkinson Disease,Disease or Syndrome
C0024959,Maxillary Sinusitis,Disease or Syndrome
C0025319,Menopausal Syndrome,Disease or Syndrome
C1536809,Postmenopausal Disorder,Disease or Syndrome
C1609524,Adhf,Disease or Syndrome
C1827266,Decompensated Chronic Heart Failure,Disease or Syndrome
C1152772,Platelet Activating Factor Receptor Activity,Molecular Function
C0520962,Localized Pain,Sign or Symptom
C0038904,Surgical Procedures; Minor,Therapeutic or Preventive Procedure
C0011876,Diabetic Cataract,Acquired Abnormality
C0011884,Diabetic Retinopathy,Disease or Syndrome
C0342257,Complications Of Diabetes Mellitus,Pathologic Function
C1151017,Guanylate Cyclase Activity,Molecular Function
C0003869,Arthritis; Infectious,Disease or Syndrome
C0014736,Erysipelothrix Infection,Disease or Syndrome
C0030757,Pediculus Capitis Infestation,Disease or Syndrome
C1096589,Enterococcus Faecium Infection,Disease or Syndrome
C1096075,Vancomycin-Resistant Enterococcal Infection,Disease or Syndrome
C0018021,Goiter,Disease or Syndrome
C0677607,Hashimoto Disease,Disease or Syndrome
C0007115,Malignant Neoplasm Of Thyroid,Neoplastic Process
C0342208,Multinodular Goiter,Disease or Syndrome
C0221777,Nontoxic Goiter,Disease or Syndrome
C1306804,Subacute Lymphocytic Thyroiditis,Disease or Syndrome
C0854492,Tertiary Hypothyroidism,Disease or Syndrome
C0040135,Thyroid Hormones,Hormone
C0042765,Virulence,Biologic Function
C3272041,Glucagon-Like Peptide 1 Receptor Activity,Molecular Function
C0578150,Hemodynamically Stable,Finding
C0149654,Conduct Disorder,Mental or Behavioral Dysfunction
C0023899,Liver Extract,Pharmacologic Substance
C0740858,Substance Abuse Problem,Mental or Behavioral Dysfunction
C0220650,Metastatic Malignant Neoplasm To Brain,Neoplastic Process
C0750974,Brain Tumor; Primary,Neoplastic Process
C0746341,Hodgkin'S Disease Recurrent,Neoplastic Process
C0855082,Hodgkin'S Disease Refractory,Neoplastic Process
C0022665,Kidney Neoplasm,Neoplastic Process
C1971473,Estrogen Receptor (Er) Or Progesterone Receptor (Pr) Positive Breast Cancer (Onc)1,Finding
C0009374,Colonic Diseases; Functional,Disease or Syndrome
C0149777,Abscess Of Skin And/Or Subcutaneous Tissue,Pathologic Function
C0041912,Upper Respiratory Infections,Disease or Syndrome
C2202981,Watery Nasal Discharge,Sign or Symptom
C0041834,Erythema,Sign or Symptom
C0007398,Catatonia,Mental or Behavioral Dysfunction
C0009774,Viral Conjunctivitis,Disease or Syndrome
C0267509,Chronic Idiopathic Constipation,Disease or Syndrome
C0153633,Malignant Neoplasm Of Brain,Neoplastic Process
C0277355,Flea Infestation,Disease or Syndrome
C1325301,Collagen Activity,Molecular Function
C0409959,Osteoarthritis; Knee,Disease or Syndrome
C3489393,Hiatal Hernia,Anatomical Abnormality
C0021880,Intracranial Pressure,Organ or Tissue Function
C0860433,Irreversible Renal Failure,Disease or Syndrome
C0742078,Mass Lesion Of Brain,Disease or Syndrome
C0028961,Oliguria,Sign or Symptom
C1373187,Renal Excretion,Organ or Tissue Function
C0003460,Anuria,Disease or Syndrome
C0005587,Depression; Bipolar,Mental or Behavioral Dysfunction
C0011574,Involutional Depression,Mental or Behavioral Dysfunction
C0236736,Cocaine-Related Disorders,Mental or Behavioral Dysfunction
C1150252,Chymotrypsin Activity,Molecular Function
C0877510,Precancerous Skin Lesion,Disease or Syndrome
C1152059,Caax-Protein Geranylgeranyltransferase Activity,Molecular Function
C1819952,Keratinocyte Proliferation,Cell Function
C1305855,Body Mass Index,Clinical Attribute
C1384687,Ancylostomiasis Due To Ancylostoma Duodenale,Disease or Syndrome
C0027529,Necatoriasis Due To Necator Americanus (Disorder),Disease or Syndrome
C1442161,Gene Deletion Abnormality,Cell or Molecular Dysfunction
C1837475,Insulin-Like Growth Factor I Deficiency,Disease or Syndrome
C1609515,Neutralising Antibodies Positive,Laboratory or Test Result
C0013687,Effusion,Pathologic Function
C0080032,Pleural Effusion; Malignant,Disease or Syndrome
C0030482,Paraphilias,Mental or Behavioral Dysfunction
C3203358,Hypoventilation,Pathologic Function
C0413892,Adverse Reaction To Epinephrine,Injury or Poisoning
C0014583,Episcleritis,Disease or Syndrome
C0343755,Hiv Wasting Syndrome,Disease or Syndrome
C0007103,Malignant Neoplasm Of Endometrium,Neoplastic Process
C0023283,Leishmaniasis; Cutaneous,Disease or Syndrome
C0023290,Leishmaniasis; Visceral,Disease or Syndrome
C2062728,Benzodiazepine Withdrawal,Mental or Behavioral Dysfunction
C0456909,Blind Vision,Disease or Syndrome
C0813142,Circadian Rhythm Disorders,Disease or Syndrome
C0393770,Delayed Sleep Phase Syndrome,Disease or Syndrome
C0008073,Developmental Disabilities,Mental or Behavioral Dysfunction
C0231311,Jet Lag Syndrome,Disease or Syndrome
C0033139,Primary Insomnia,Disease or Syndrome
C0751251,Secondary Insomnia,Sign or Symptom
C0751760,Shift-Work Sleep Disorder,Mental or Behavioral Dysfunction
C0877792,Sleep Disorders; Circadian Rhythm,Pathologic Function
C1833362,Sleep-Wake Cycle Disturbance,Finding
C0686347,Tardive Dyskinesia,Disease or Syndrome
C0199975,Interleukin-2 Therapy,Therapeutic or Preventive Procedure
C0677886,Epithelial Ovarian Cancer,Neoplastic Process
C0278884,Melanoma Recurrent,Neoplastic Process
C1846227,Gonadotropin Insufficiency,Finding
C0025326,Menotropins,Pharmacologic Substance
C0434296,Intramuscular Contusion,Injury or Poisoning
C0038048,Sprains And Strains,Injury or Poisoning
C0004161,Athletic Injuries,Injury or Poisoning
C0434294,Muscle Sprain,Injury or Poisoning
C0221776,Oral Pain,Sign or Symptom
C2919460,Joint Pain In Ankle And Foot,Sign or Symptom
C0038039,Sports,Daily or Recreational Activity
C0857353,Hypotensive,Pathologic Function
C0022333,Jacksonian Seizure,Disease or Syndrome
C0014557,Epilepsy; Post-Traumatic,Injury or Poisoning
C1373161,Ultraviolet A Radiation Absorption,Physiologic Function
C0677908,Maintenance Therapy,Therapeutic or Preventive Procedure
C1632842,Complicated Appendicitis,Disease or Syndrome
C0003615,Appendicitis,Disease or Syndrome
C0025292,Meningitis; Haemophilus,Disease or Syndrome
C0025295,Meningitis; Pneumococcal,Disease or Syndrome
C1834645,Acquired Disorder,Finding
C0033252,Proctosigmoiditis,Disease or Syndrome
C0941058,Ulcerative Colitis; Active Moderate,Disease or Syndrome
C0037072,Sigmoid Diseases,Disease or Syndrome
C1511794,Detoxification Process,Molecular Function
C0029221,Organic Brain Syndrome,Disease or Syndrome
C0270611,Brain Injuries,Injury or Poisoning
C0521659,Motor Neuron Disease; Upper,Disease or Syndrome
C0085129,Bronchial Hyperreactivity,Disease or Syndrome
C0152128,Drug Withdrawal Syndrome,Disease or Syndrome
C0032026,Pityriasis Rosea,Disease or Syndrome
C0004659,Bacteriuria,Disease or Syndrome
C0018213,Graves Disease,Disease or Syndrome
C0040127,Thyroid Crisis,Disease or Syndrome
C0304448,Methohexital Sodium,Pharmacologic Substance
C0349557,Gestational Choriocarcinoma,Neoplastic Process
C0020217,Hydatidiform Mole,Neoplastic Process
C0008493,Hydatidiform Mole; Invasive,Neoplastic Process
C0042900,Vitiligo,Disease or Syndrome
C0021831,Intestinal Diseases,Disease or Syndrome
C0549042,Excessive Or Recurrent Bleeding,Pathologic Function
C0349251,Behavioral Syndrome Associated With Physiological Disturbance And Physical Factors,Mental or Behavioral Dysfunction
C0476236,Developmental Symptoms,Sign or Symptom
C0233415,Cognitive Function: Distractibility,Finding
C0424295,Hyperactive Behavior,Finding
C0021125,Impulsive Behavior,Individual Behavior
C0085633,Mood Swings,Mental or Behavioral Dysfunction
C0262630,Reduced Concentration Span,Finding
C0027854,Neurologic Manifestations,Finding
C0024902,Mastodynia,Sign or Symptom
C0038999,Swelling,Finding
C0375777,Infection With Microorganisms Resistant To Penicillins,Finding
C0019868,Homeostasis,Biologic Function
C1704258,Abnormality,Finding
C0158570,Vascular Anomaly,Anatomical Abnormality
C1096458,Vascular Occlusion,Acquired Abnormality
C0332563,Papule,Finding
C0241157,Pustule,Finding
C0238106,Clostridium Difficile Colitis,Disease or Syndrome
C0850136,Giardia Enteritis,Disease or Syndrome
C0040923,Trichomonas Vaginitis,Disease or Syndrome
C0851874,Hypothalamic And Pituitary Disorders Nec,Disease or Syndrome
C1655054,Regulation Of Corticotropin Secretion,Cell Function
C0334419,Pheochromocytoma; Malignant,Neoplastic Process
C0876973,Infectious Disease Of Lung,Disease or Syndrome
C0343884,Acute Disseminated Candidiasis,Disease or Syndrome
C1609535,Candidiasis; Invasive,Disease or Syndrome
C0085405,Salvage Therapy,Therapeutic or Preventive Procedure
C0740482,Hypotension Orthostatic Symptomatic,Sign or Symptom
C0032987,Ectopic Pregnancy,Disease or Syndrome
C2263301,Glucosylceramide Synthase Activity,Molecular Function
C0577866,Poor Venous Access,Finding
C0235031,Neurologic Symptoms,Sign or Symptom
C0220756,Niemann-Pick Disease; Type C,Disease or Syndrome
C0240807,Progressive Symptoms,Finding
C0588007,Moderate Depression,Mental or Behavioral Dysfunction
C2362914,Clinical Depression,Mental or Behavioral Dysfunction
C0588008,Severe Depression,Mental or Behavioral Dysfunction
C0241893,Tick Fever,Disease or Syndrome
C0560175,Carrier Of Disorder,Finding
C0034362,Q Fever,Disease or Syndrome
C0035597,Rickettsialpox,Disease or Syndrome
C0035793,Rocky Mountain Spotted Fever,Disease or Syndrome
C0041471,Typhus,Disease or Syndrome
C0343758,Typhus Group Rickettsial Disease,Disease or Syndrome
C0574769,Loss Of Scalp Hair,Sign or Symptom
C2216476,Male Pattern Baldness Of Crown,Finding
C1290893,Drug-Induced Ulceration,Disease or Syndrome
C0577731,Disseminated Adenocarcinoma,Neoplastic Process
C0153340,Cancer Of Lip,Neoplastic Process
C1387409,History; Malignant Neoplasm; Digestive Organ,Finding
C0153381,Malignant Neoplasm Of Mouth,Neoplastic Process
C0153405,Malignant Neoplasm Of Pharynx,Neoplastic Process
C0153467,Malignant Tumor Of Peritoneum,Neoplastic Process
C0001418,Adenocarcinoma,Neoplastic Process
C0206686,Adrenocortical Carcinoma,Neoplastic Process
C0001618,Tumors Of Adrenal Cortex,Neoplastic Process
C0751965,Multiple Sclerosis; Secondary Progressive,Disease or Syndrome
C0332271,Worsening Pattern,Qualitative Concept
C0852426,Narcolepsy And Hypersomnia,Disease or Syndrome
